CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_CAPPED,CASH_ADVANCE_CAPPED,MIN_PAYMENTS_CAPPED,PAYMENTS_CAPPED,ZERO_PURCHASE_FLAG,CASH_ADV_USER_FLAG,TENURE_BAND,PAYMENT_TIER,PURCHASE_SEGMENT
C10011,1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12,1293.124939,0,2172.697765,1083.301007,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10012,630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12,630.794744,0,155.549069,705.618627,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10013,1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12,1516.92862,0,490.207013,608.263689,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10014,921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12,921.693369,0,251.137986,1655.891435,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10015,2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12,2772.772734,346.81139,989.962866,805.647974,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10016,6886.213231,1,1611.7,0,1611.7,2301.491267,0.5,0,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12,6886.213231,2301.491267,2109.90649,1993.439277,0,1,Full-Term (12 months),D - Never Full,Installments-Only
C10017,2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8,2072.074354,2784.274703,376.579631,391.974562,1,1,Short-Term (<=8 months),D - Never Full,Non-Purchaser
C10018,41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12,41.089489,0,73.203221,254.590662,0,0,Full-Term (12 months),C - Partial,Installments-Only
C10019,1989.072228,1,504.35,166,338.35,0,0.666667,0.083333,0.583333,0,0,9,13000,1720.837373,744.613395,0,12,1989.072228,0,744.613395,1720.837373,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10020,3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12,3577.970933,0,8626.691541,1053.980464,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10021,2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12,2016.684686,0,8626.691541,223.0686,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10022,6369.531318,1,6359.95,5910.04,449.91,229.028245,1,0.916667,1,0.333333,6,92,11250,2077.959051,1659.775075,0,12,6369.531318,229.028245,1659.775075,2077.959051,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10023,132.34224,0.636364,815.9,0,815.9,0,1,0,1,0,0,17,1800,2359.629958,86.329554,0,12,132.34224,0,86.329554,2359.629958,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1,0.083333,0.916667,0.333333,13,13,9000,9479.043842,1425.426525,0,12,3800.151377,7974.415626,1425.426525,9479.043842,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10025,5368.571219,1,0,0,0,798.949863,0,0,0,0.363636,4,0,6000,1422.726707,1657.002877,0,11,5368.571219,798.949863,1657.002877,1422.726707,1,1,Mid-Term (9-11 months),D - Never Full,Non-Purchaser
C10026,169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,12,169.781679,0,163.005536,215.306142,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10027,1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,12,1615.96724,244.840485,971.183209,890.178845,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10028,125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,12,125.694817,0,164.748819,207.773715,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10029,7152.864372,1,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500,1601.448347,1648.851345,0,12,7152.864372,2236.145259,1648.851345,1601.448347,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10030,22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,12,22.06349,0,159.684442,160.767773,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10031,12136.21996,1,3038.01,1013.2,2024.81,3183.583301,1,0.166667,1,0.5,10,64,13000,4230.323491,3292.01503,0,12,9338.804814,3183.583301,3292.01503,4230.323491,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10032,1162.273324,1,1347.71,400,947.71,175.815755,1,0.083333,1,0.166667,2,45,6000,645.998299,256.848991,0,12,1162.273324,175.815755,256.848991,645.998299,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10033,6732.823064,1,324.95,324.95,0,1189.533753,0.083333,0.083333,0,0.166667,3,3,10500,1720.118876,2506.745366,0,12,6732.823064,1189.533753,2506.745366,1720.118876,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10034,125.660453,1,636.79,636.79,0,0,0.916667,0.916667,0,0,0,11,1200,423.449696,196.301885,0.3,12,125.660453,0,196.301885,423.449696,0,0,Full-Term (12 months),C - Partial,One-Off Only
C10035,3517.101616,0.727273,547.28,0,547.28,0,1,0,1,0,0,14,11000,8735.607835,17862.55831,0,12,3517.101616,0,8626.691541,8735.607835,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10036,1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,12,1656.350781,99.264367,634.569311,351.500199,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10037,7427.076941,1,0,0,0,8873.375046,0,0,0,0.727273,11,0,9000,1636.361601,1986.843608,0,11,7427.076941,8873.375046,1986.843608,1636.361601,1,1,Mid-Term (9-11 months),D - Never Full,Non-Purchaser
C10038,4047.480828,1,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12,4047.480828,1697.660901,1541.141605,1617.894416,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10039,6269.418144,1,204,204,0,2925.699862,0.083333,0.083333,0,0.333333,12,2,9000,1237.111661,2049.408839,0,12,6269.418144,2925.699862,2049.408839,1237.111661,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10040,1411.60223,0.454545,963.24,963.24,0,6173.682877,0.083333,0.083333,0,0.333333,6,6,7500,20071.07544,719.948985,0.333333,12,1411.60223,6173.682877,719.948985,13608.71554,0,1,Full-Term (12 months),C - Partial,One-Off Only
C10041,663.44781,0.727273,0,0,0,3133.063934,0,0,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12,663.44781,3133.063934,283.333445,3067.05783,1,1,Full-Term (12 months),C - Partial,Non-Purchaser
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12,784.889762,2188.419607,363.142736,1262.309666,0,1,Full-Term (12 months),C - Partial,Hybrid (Both)
C10044,4104.710798,1,203.82,203.82,0,0,0.083333,0.083333,0,0,0,1,4500,868.275275,1801.264841,0,12,4104.710798,0,1801.264841,868.275275,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10045,1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,12,1360.742377,1481.587093,321.354137,378.294227,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10046,5315.945594,1,1525.44,469.8,1055.64,0,1,0.333333,1,0,0,20,8500,1430.341501,1318.71492,0,12,5315.945594,0,1318.71492,1430.341501,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10047,2242.311686,1,437,97,340,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400,0,312.343947,0,12,2242.311686,184.648692,312.343947,0,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10048,474.447149,0.5,109.74,0,109.74,1013.659552,0.375,0,0.25,0.125,1,3,1700,176.013005,147.199792,0,8,474.447149,1013.659552,147.199792,176.013005,0,1,Short-Term (<=8 months),D - Never Full,Installments-Only
C10049,3910.111237,1,0,0,0,1980.873201,0,0,0,0.5,7,0,4200,0,312.343947,0,12,3910.111237,1980.873201,312.343947,0,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10050,229.867179,1,2390.6,1402.93,987.67,0,1,0.666667,1,0,0,87,3300,2543.953559,175.657825,0.916667,12,229.867179,0,175.657825,2543.953559,0,0,Full-Term (12 months),B - Mostly Full,Hybrid (Both)
C10051,863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12,863.809833,695.097159,286.448719,587.866451,0,1,Full-Term (12 months),C - Partial,One-Off Only
C10052,4931.331857,1,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000,8113.297346,1012.415961,0,8,4931.331857,8530.648614,1012.415961,8113.297346,0,1,Short-Term (<=8 months),D - Never Full,Hybrid (Both)
C10053,1078.888565,1,3107.85,2221.74,886.11,0,0.666667,0.583333,0.5,0,0,18,2500,1399.82834,1322.446601,0,12,1078.888565,0,1322.446601,1399.82834,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10054,1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,12,1565.681099,321.359135,581.481917,691.825279,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10055,464.674156,0.888889,1979.22,1979.22,0,1981.265503,0.666667,0.666667,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9,464.674156,1981.265503,132.446091,3110.052742,0,1,Mid-Term (9-11 months),C - Partial,One-Off Only
C10056,6.660517,0.636364,310,0,310,0,0.666667,0,0.666667,0,0,8,1000,417.016763,312.343947,0,12,6.660517,0,312.343947,417.016763,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10057,1311.995984,1,1283.9,1283.9,0,0,0.25,0.25,0,0,0,6,6000,0,312.343947,0,12,1311.995984,0,312.343947,0,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10058,3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,312.343947,0,12,3625.218146,668.468743,312.343947,0,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10059,2386.330629,1,5217.62,4789.09,428.53,0,0.916667,0.916667,0.5,0,0,42,7500,5678.729613,1311.514878,0.083333,12,2386.330629,0,1311.514878,5678.729613,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10060,3971.138765,1,0,0,0,224.575517,0,0,0,0.181818,3,0,4000,764.938728,1600.212243,0,11,3971.138765,224.575517,1600.212243,764.938728,1,1,Mid-Term (9-11 months),D - Never Full,Non-Purchaser
C10061,5493.90406,1,229,0,229,970.591332,0.416667,0,0.333333,0.333333,4,6,6000,2110.557023,1895.02617,0,12,5493.90406,970.591332,1895.02617,2110.557023,0,1,Full-Term (12 months),D - Never Full,Installments-Only
C10062,1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12,1879.114033,0,548.105836,3509.686561,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10063,1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12,1555.793701,0,837.215674,338.083661,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10064,809.582978,0.909091,0,0,0,3819.672466,0,0,0,0.545455,7,0,4150,4372.148648,241.645387,0.090909,11,809.582978,3819.672466,241.645387,4372.148648,1,1,Mid-Term (9-11 months),C - Partial,Non-Purchaser
C10065,7.152356,0.090909,840,840,0,0,0.083333,0.083333,0,0,0,1,1600,0,312.343947,0,12,7.152356,0,312.343947,0,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10067,1923.886805,1,1887.64,0,1887.64,1605.949371,1,0,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12,1923.886805,1605.949371,3266.996777,3688.045998,0,1,Full-Term (12 months),C - Partial,Installments-Only
C10068,1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12,1758.059987,0,897.905444,777.451648,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10069,809.847455,0.875,0,0,0,908.423608,0,0,0,0.125,1,0,1500,146.074769,179.412493,0,8,809.847455,908.423608,179.412493,146.074769,1,1,Short-Term (<=8 months),D - Never Full,Non-Purchaser
C10070,1576.305029,1,0,0,0,382.908547,0,0,0,0.416667,6,0,2500,540.022225,352.883804,0,12,1576.305029,382.908547,352.883804,540.022225,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10071,3990.523579,1,263.5,190.6,72.9,0,0.666667,0.083333,0.583333,0,0,8,6000,6876.836205,1001.607366,0.083333,12,3990.523579,0,1001.607366,6876.836205,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10072,1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12,1699.435486,0,923.505868,1623.816348,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10073,5487.683724,1,419.1,0,419.1,625.399386,0.916667,0,0.833333,0.333333,4,11,6250,1288.214909,2180.881868,0,12,5487.683724,625.399386,2180.881868,1288.214909,0,1,Full-Term (12 months),D - Never Full,Installments-Only
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000,28232.69446,1107.030803,0.454545,12,2990.422186,9588.163357,1107.030803,13608.71554,0,1,Full-Term (12 months),C - Partial,Hybrid (Both)
C10075,656.01301,1,0,0,0,1474.349901,0,0,0,0.125,3,0,7000,910.457985,140.983193,0.25,8,656.01301,1474.349901,140.983193,910.457985,1,1,Short-Term (<=8 months),C - Partial,Non-Purchaser
C10077,1808.972419,1,713.9,503.08,210.82,0,0.5,0.1,0.4,0,0,8,2250,889.017418,622.757696,0,10,1808.972419,0,622.757696,889.017418,0,0,Mid-Term (9-11 months),D - Never Full,Hybrid (Both)
C10078,532.334517,0.909091,791.94,516.64,275.3,0,0.272727,0.090909,0.181818,0,0,7,6000,1305.177304,175.510344,0,11,532.334517,0,175.510344,1305.177304,0,0,Mid-Term (9-11 months),D - Never Full,Hybrid (Both)
C10079,5860.433624,1,561.87,249.5,312.37,0,0.833333,0.166667,0.75,0,0,14,6000,1990.044998,2161.428274,0,12,5860.433624,0,2161.428274,1990.044998,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10080,1727.638449,1,606.11,606.11,0,0,1,1,0,0,0,17,11000,2959.920544,623.656993,0,12,1727.638449,0,623.656993,2959.920544,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10081,578.809679,1,320,0,320,0,0.75,0,0.666667,0,0,8,1500,1438.910569,190.186542,0,12,578.809679,0,190.186542,1438.910569,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10082,1205.716678,1,0,0,0,38.325801,0,0,0,0.083333,1,0,1200,29.278671,8242.687678,0,12,1205.716678,38.325801,8242.687678,29.278671,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10083,6593.820644,1,388.66,388.66,0,4621.93458,0.583333,0.583333,0,0.416667,7,7,7000,1624.583114,2503.40234,0,12,6593.820644,4621.93458,2503.40234,1624.583114,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10084,17.357563,0.909091,244.85,40.21,204.64,0,0.666667,0.166667,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,12,17.357563,0,121.523416,357.802082,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10085,81.584711,0.272727,0,0,0,2985.300006,0,0,0,0.166667,5,0,9500,116.569033,164.692136,0,12,81.584711,2985.300006,164.692136,116.569033,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10086,3.78631,0.636364,133.05,28.2,104.85,0,0.416667,0.166667,0.25,0,0,5,12000,210.053432,99.533735,0.444444,12,3.78631,0,99.533735,210.053432,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10087,42.46443,0.545455,396,0,396,0,0.5,0,0.416667,0,0,12,1200,725.606194,140.809454,1,12,42.46443,0,140.809454,725.606194,0,0,Full-Term (12 months),A - Always Full,Installments-Only
C10088,1935.362486,1,4915.6,4515.34,400.26,293.844792,1,1,0.333333,0.083333,1,50,9000,4921.066897,594.756686,0,12,1935.362486,293.844792,594.756686,4921.066897,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10089,134.917202,1,1247.8,1247.8,0,0,1,1,0,0,0,22,16500,1275.229436,171.357189,1,12,134.917202,0,171.357189,1275.229436,0,0,Full-Term (12 months),A - Always Full,One-Off Only
C10090,7069.950386,1,1603.78,1445.14,158.64,5626.004046,1,0.833333,1,0.75,23,23,11000,4589.873897,1876.262988,0,12,7069.950386,5626.004046,1876.262988,4589.873897,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10092,8181.251131,1,2258.01,1318.78,939.23,5251.228934,1,0.75,1,0.75,21,60,13500,3021.575846,2074.581541,0,12,8181.251131,5251.228934,2074.581541,3021.575846,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10093,4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,12,4037.305658,104.238064,968.941265,1073.844885,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10094,6110.265264,1,0,0,0,2717.253917,0,0,0,0.416667,14,0,6500,1502.205631,2864.380327,0,12,6110.265264,2717.253917,2864.380327,1502.205631,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10095,9381.255094,1,5100.07,1147.83,3952.24,370.737197,1,0.25,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0,12,9338.804814,370.737197,8626.691541,6409.496345,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10096,1977.00709,1,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11,1977.00709,4335.919227,910.707525,3056.424974,0,1,Mid-Term (9-11 months),C - Partial,Hybrid (Both)
C10097,1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,12,1321.47608,495.657934,312.560636,440.840439,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10098,1307.717841,1,405.6,405.6,0,0,0.166667,0.166667,0,0,0,2,2400,0,312.343947,0,12,1307.717841,0,312.343947,0,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10099,2329.485768,1,213.34,213.34,0,0,0.25,0.25,0,0,0,3,2400,0,312.343947,0,12,2329.485768,0,312.343947,0,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10100,1139.782882,1,0,0,0,120.612912,0,0,0,0.083333,1,0,1200,151.823651,2906.110765,0,12,1139.782882,120.612912,2906.110765,151.823651,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10101,1619.955708,1,739.44,739.44,0,0,0.666667,0.666667,0,0,0,11,6000,417.128532,389.138517,0,12,1619.955708,0,389.138517,417.128532,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10102,3505.671311,1,0,0,0,1713.984305,0,0,0,0.5,6,0,4000,0,312.343947,0,12,3505.671311,1713.984305,312.343947,0,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10103,4.708041,0.363636,79,0,79,0,0.25,0,0.166667,0,0,3,7000,217.820198,121.781205,1,12,4.708041,0,121.781205,217.820198,0,0,Full-Term (12 months),A - Always Full,Installments-Only
C10104,0,0,0,0,0,89.849004,0,0,0,0.142857,1,0,3000,138.021428,312.343947,0,7,0,89.849004,312.343947,138.021428,1,1,Short-Term (<=8 months),D - Never Full,Non-Purchaser
C10105,4.875885,0.666667,20,20,0,0,0.111111,0.111111,0,0,0,1,1500,26.487919,60.913577,0,9,4.875885,0,60.913577,26.487919,0,0,Mid-Term (9-11 months),D - Never Full,One-Off Only
C10106,23.394411,0.272727,1346.28,0,1346.28,0,1,0,1,0,0,12,2000,712.149153,54.79166,0,12,23.394411,0,54.79166,712.149153,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10107,3539.801912,1,2823.8,1540.41,1283.39,0,0.916667,0.916667,0.833333,0,0,75,5700,9172.788366,2103.796148,0.083333,12,3539.801912,0,2103.796148,9172.788366,0,0,Full-Term (12 months),C - Partial,Hybrid (Both)
C10108,0.62424,0.090909,389.96,0,389.96,0,1,0,1,0,0,31,4500,0,312.343947,0,12,0.62424,0,312.343947,0,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10109,862.07238,1,0,0,0,920.309805,0,0,0,0.083333,1,0,4000,2236.890255,214.828158,0.083333,12,862.07238,920.309805,214.828158,2236.890255,1,1,Full-Term (12 months),C - Partial,Non-Purchaser
C10110,2441.542991,1,808,808,0,959.857263,0.25,0.25,0,0.333333,6,4,4000,532.741699,1026.976,0,12,2441.542991,959.857263,1026.976,532.741699,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10111,408.656365,1,941.64,0,941.64,0,1,0,1,0,0,12,2500,1097.78942,176.610605,0.083333,12,408.656365,0,176.610605,1097.78942,0,0,Full-Term (12 months),C - Partial,Installments-Only
C10112,4986.400804,1,0,0,0,5439.467563,0,0,0,0.583333,40,0,8000,1241.538024,1439.230899,0,12,4986.400804,5439.467563,1439.230899,1241.538024,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10113,1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12,1246.624558,412.399058,498.365419,577.050373,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10114,6644.201651,1,4478.75,2721.59,1757.16,7205.520805,1,0.916667,1,0.583333,21,64,9000,10857.94321,2469.571326,0.083333,12,6644.201651,7205.520805,2469.571326,10857.94321,0,1,Full-Term (12 months),C - Partial,Hybrid (Both)
C10115,156.216753,0.818182,1354.86,585.63,769.23,0,0.916667,0.333333,0.833333,0,0,34,5500,858.976682,108.319927,0,12,156.216753,0,108.319927,858.976682,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10116,3393.351236,1,0,0,0,1008.348672,0,0,0,0.083333,2,0,4200,0,312.343947,0,12,3393.351236,1008.348672,312.343947,0,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10117,5322.994094,1,2812.2,857.12,1955.08,2510.352951,1,0.25,1,0.333333,8,81,8500,1509.423237,1834.031569,0,12,5322.994094,2510.352951,1834.031569,1509.423237,0,1,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10118,6458.56209,1,0,0,0,3360.228794,0,0,0,0.25,11,0,7000,1277.76778,2760.115734,0,12,6458.56209,3360.228794,2760.115734,1277.76778,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10119,175.341651,0.818182,1508.9,1252.36,256.54,0,0.666667,0.416667,0.333333,0,0,14,5000,1884.227778,136.639824,1,12,175.341651,0,136.639824,1884.227778,0,0,Full-Term (12 months),A - Always Full,Hybrid (Both)
C10120,680.195157,1,1045.57,667.95,377.62,0,1,0.583333,1,0,0,25,3000,552.432305,207.720441,0,12,680.195157,0,207.720441,552.432305,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10121,223.763616,0.636364,2309.78,0,2309.78,0,0.583333,0,0.5,0,0,12,6500,1206.81188,99.372848,0.333333,12,223.763616,0,99.372848,1206.81188,0,0,Full-Term (12 months),C - Partial,Installments-Only
C10122,1785.626943,1,0,0,0,576.206382,0,0,0,0.25,10,0,1800,687.691735,2439.136113,0,12,1785.626943,576.206382,2439.136113,687.691735,1,1,Full-Term (12 months),D - Never Full,Non-Purchaser
C10123,54.933231,0.272727,495,0,495,0,0.166667,0,0.166667,0,0,2,7000,1969.845566,147.049952,1,12,54.933231,0,147.049952,1969.845566,0,0,Full-Term (12 months),A - Always Full,Installments-Only
